Évanescent(e);Qui disparaît peu à peu (Fugitif) "La beauté de ce moment était évanescente"
Péripétie;Événement imprévu, souvent bouleversant, dans une intrigue (Aventure) "Le film est rempli de péripéties"
Immanent(e);Qui est contenu dans la nature d'un être ou d'une chose (Intrinsèque) "La justice immanente finit toujours par triompher"
Apathie;Absence de réaction aux stimulations, indifférence (Indolence) "Il montrait une apathie totale face aux événements"
Nébuleux(se);Confus, peu clair (Vague) "Ses souvenirs de l'enfance sont nébuleux"
Lugubre;Qui exprime une profonde tristesse, sombre (Sinistre) "L'atmosphère du vieux manoir était lugubre"
Ostentatoire;Qui se fait remarquer, qui manifeste de l'ostentation (Voyant) "Sa richesse était affichée de manière ostentatoire"
Onirique;Relatif au rêve (Rêveur) "Le paysage avait une qualité onirique"
Réminiscence;Souvenir vague ou incomplet (Souvenir) "Une réminiscence de son enfance est revenue"
Austère;Qui se montre sévère pour soi, rigoureux (Sévère) "Son bureau était austère et sans décoration"
Éloquent(e);Qui a une parole facile et convaincante (Persuasif) "Son discours était très éloquent"
Fugace;Qui disparaît rapidement (Éphémère) "Un sourire fugace passa sur son visage"
Insidieux(se);Qui a le caractère d'un piège (Trompeur) "La question était insidieuse"
Lacunaire;Qui présente des manques, des lacunes (Incomplet) "Le rapport est lacunaire et nécessite des compléments"
Omniscient(e);Qui sait tout (Universel) "Le narrateur du roman est omniscient"
Péremptoire;Contre quoi on ne peut rien répliquer (Catégorique) "Il fit une déclaration péremptoire"
Réticent(e);Qui manifeste une hésitation à dire ou à faire quelque chose (Hésitant) "Elle était réticente à accepter l'offre"
Tacite;Qui est sous-entendu sans être exprimé (Implicite) "Il y avait un accord tacite entre eux"
Inextricable;Qui ne peut être démêlé, très compliqué (Complexe) "Le mystère est inextricable"
Intelligible;Qui peut être compris, clair et compréhensible (Compréhensible) "Son discours était intelligible par tous"
Intangible;Qui ne peut être perçu par le toucher, qui ne peut être atteint (Intouchable) "Les principes moraux sont intangibles"
Émanation;Action de s'exhaler d'un corps, substance qui s'échappe d'un corps (Exhalaison) "Une émanation de parfum flottait dans l'air"
Rigidité;Caractère de ce qui est rigide, inflexibilité, manque de souplesse (Inflexibilité) "Sa rigidité d'esprit posait problème"
Juteux;Qui contient beaucoup de jus (Savoureux) "Le fruit était très juteux"
Granuleux;Qui a une texture faite de petits grains (Grumeleux) "Le sable était granuleux sous mes pieds"
Effarouché;Qui est effrayé, troublé (Apeuré) "L'enfant effarouché se cacha derrière sa mère"
Cataclysme;Grande catastrophe naturelle (Désastre) "Le tremblement de terre fut un véritable cataclysme"
Froussard;Qui est facilement effrayé (Peur) "Il est trop froussard pour regarder un film d'horreur"
Abâtardir;Rendre moins noble ou moins pur (Dégénérer) "La guerre a tendance à abâtardir les valeurs humaines"
Effervescent(e);Qui produit des bulles de gaz (Pétillant) "Le champagne est une boisson effervescente."
Équivoque;Qui peut avoir plusieurs sens, ambigu (Ambigu) "Sa réponse était équivoque."
Furtif(ve);Qui se fait rapidement et discrètement (Secret) "Il jeta un regard furtif autour de lui."
Délibérer;Penser longuement avant de prendre une décision (Réfléchir) "Le jury doit délibérer avant de rendre son verdict."
Catéchisme;Enseignement religieux destiné à l'instruction des fidèles (Enseignement) "Les enfants suivent des cours de catéchisme à l'église."
Antagoniste;Qui s'oppose à quelque chose ou à quelqu'un (Opposant) "Le personnage principal du roman avait un antagoniste redoutable."
Hostile;Qui manifeste de l'agressivité, se conduit en ennemi (Agressif) "Son comportement hostile a créé une atmosphère tendue."
Platonique;Qui est idéaliste et non physique sans attirance sexuelle (Idéaliste) "Leur relation était purement platonique."
Machiavélique;Qui est rusé, calculateur et prêt à tout pour atteindre ses objectifs (Calculateur) "Son plan machiavélique visait à éliminer ses rivaux."
Manichéen;Qui divise les choses en bien et mal de manière catégorique et simpliste (Dualiste) "Son point de vue manichéen ne tient pas compte de la complexité des situations."
Nuancer;Exprimer en tenant compte des différences les plus délicates (Différencier) "Il est essentiel de préciser les aspects pour nuancer notre compréhension."
Subtile;Qui est délicat, fin, qui se manifeste de manière discrète ou légère (Délicat) "Elle a utilisé une approche subtile pour résoudre le problème."
Subtil;Qui est délicat, finement travaillé ou perçu avec finesse (Délicat) "Son argumentation était subtile et bien construite."
Paradigme;Modèle ou exemple typique d'une certaine catégorie de choses (Modèle) "Dans ce livre, l'auteur propose un nouveau paradigme pour comprendre la psychologie humaine."
hémisphère: Moitié d'une sphère (Partie) "L'hémisphère nord contient la plupart des pays industrialisés."
Doctrine;Ensemble de principes ou de croyances enseignés comme vrais et à suivre (Principe) "La doctrine de cette religion prône la compassion et le respect."
Altercation;Dispute vive, échange de paroles vif et souvent violent (Querelle) "Une altercation a éclaté entre les deux voisins."
Fuser;Se fondre ensemble, se mêler (Fusionner) "Les idées des deux philosophes ont fini par fuser pour créer une nouvelle théorie."
Commuer;Changer une peine en une autre moins sévère (Transformer) "Sa peine de prison a été commuée en travaux d'intérêt général."
Vénal;Qui est prêt à se vendre pour de l'argent, corruptible (Corruptible) "Le juge s'est révélé être vénal et a accepté des pots-de-vin."
Déroutant(e);Qui déroute, qui perturbe la compréhension habituelle (Perturbant) "Le manque d'explications claires rendait le problème particulièrement déroutant."
Arriéré;Qui est resté en retard sur son temps, en retard de développement (Rétrograde) "Ses idées sont considérées comme arriérées dans la société moderne."
Déconcertant(e);Qui surprend et déconcerte par son caractère inattendu ou étrange (Troublant) "Sa réaction déconcertante a laissé tout le monde perplexe."
Euphémisme;Expression atténuée pour adoucir une réalité déplaisante (Litote) "Dire qu'il est parti au lieu de dire qu'il est mort est un euphémisme."
Officieux(se);Qui n'a pas un caractère officiel, mais qui en a l'apparence (Informel) "L'information, bien que non confirmée officiellement, provenait de sources officieuses."
Formaliser;Donner une forme officielle à quelque chose, structurer (Officialiser) "Il a fallu formaliser l'accord par écrit pour qu'il soit reconnu légalement."
Tyrannie;Pouvoir absolu exercé de manière oppressive et autoritaire (Despotisme) "La tyrannie du roi a conduit à la révolte du peuple."
Consentir;Accorder quelque chose, accepter (Accepter) "Elle a fini par consentir à son projet après de longues discussions."
Utilitarisme;Doctrine éthique qui juge la valeur d'une action par son utilité et ses conséquences pour le plus grand nombre (Pragmatisme) "Le philosophe défendait l'utilitarisme comme base de la morale."
Frugalité;Mode de vie simple et sobre, consommation modérée de biens (Sobriété) "Il pratique la frugalité en évitant les dépenses inutiles."
Entrave;Ce qui empêche ou ralentit le mouvement ou le progrès (Obstacle) "L'entrave administrative ralentit le développement du projet."
Pathologie;Étude des maladies, science qui les étudie (Maladie) "La pathologie moderne permet de mieux comprendre les mécanismes des maladies."
Pondéré(e);Qui est mesuré, équilibré dans ses jugements et ses actions (Modéré) "Il a donné une réponse pondérée, pesant soigneusement chaque mot."
Singularité;Caractère unique et particulier de quelque chose ou quelqu'un (Particularité) "Sa singularité résidait dans son approche innovante des problèmes."
Tourment;Souffrance morale intense, angoisse (Angoisse) "Il vivait dans un tourment constant à cause de ses doutes."
Ataraxie;Tranquillité de l'âme, absence de troubles (Sérénité) "Les philosophes stoïciens cherchent à atteindre l'ataraxie malgré les vicissitudes de la vie."
Inclusive;Qui inclut tout le monde, sans exclusion (Englobant) "Une politique inclusive garantit que chaque individu, quelles que soient ses différences, a sa place dans la société."
Résilience;Capacité à rebondir après une épreuve, à surmonter les difficultés (Endurance) "Sa résilience face à l'adversité a inspiré son entourage."
Holistique;Qui considère les choses dans leur ensemble, dans leur globalité (Global) "La médecine holistique prend en compte non seulement les symptômes physiques, mais aussi les aspects émotionnels et spirituels de la personne."
Dichotomie;Division en deux parties nettement opposées ou différentes (Dualité) "La dichotomie entre le bien et le mal est souvent abordée dans la littérature."
Oblitéré;Effacé, rendu illisible ou annulé (Effacé) "Le cachet de la
Cosmopolite;Qui comprend des personnes ou des éléments de diverses nationalités (International) "Paris est une ville cosmopolite, avec une riche diversité culturelle."
Cartésien(ne);Qui se rapporte à la philosophie de Descartes, caractérisé par la rigueur et la logique (Rationnel) "Son raisonnement cartésien l'aide à résoudre les problèmes de manière méthodique."
